school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,_schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
2015-16,X142,11X532,Baychester Middle School,X532,3750 BAYCHESTER AVENUE,X,11.0,299.0,3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,3,Bronx Alliance Middle School |  One World Middle School at Edenwald |  Baychester Middle School |  3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10466.0,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
2015-16,X142,11X529,One World Middle School at Edenwald,X529,3750 BAYCHESTER AVENUE,X,11.0,324.0,3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,3,Bronx Alliance Middle School |  One World Middle School at Edenwald |  Baychester Middle School |  3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10466.0,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
2015-16,X142,11X355,Bronx Alliance Middle School,X355,3750 BAYCHESTER AVENUE,X,11.0,339.0,3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,3,Bronx Alliance Middle School |  One World Middle School at Edenwald |  Baychester Middle School |  3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10466.0,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
2015-16,X141,10X141,Riverdale / Kingsbridge Academy (Middle School / H,X141,660 WEST 237 STREET,X,10.0,1419.0,,1,Riverdale / Kingsbridge Academy (Middle School / H,0.0,4.0,6.0,4.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,BRONX,10463.0,40.888338,-73.913486,8.0,11.0,309.0,2085870.0,2059180376.0,North Riverdale-Fieldston-Riverdale                                        
2015-16,X140,08X140,P.S. X140 The Eagle School,X140,916 EAGLE AVENUE,X,8.0,654.0,,1,P.S. X140 The Eagle School,0.0,1.0,4.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,10456.0,40.823289,-73.907948,3.0,17.0,185.0,2004469.0,2026270009.0,Morrisania-Melrose                                                         
2015-16,X139,,345 BROOK AVENUE CONSOLIDATED LOCATION,,345 BROOK AVENUE,X,7.0,1141.0,345 BROOK AVENUE CONSOLIDATED LOCATION,3,P.S. / I.S. 224 |  International Community High School |  Academy of Applied Mathematics and Technology |  345 BROOK AVENUE CONSOLIDATED LOCATION,1.0,0.0,5.0,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,10454.0,40.81004,-73.917792,1.0,8.0,41.0,2000391.0,2022860036.0,Mott Haven-Port Morris                                                     
2015-16,X139,07X343,Academy of Applied Mathematics and Technology,X343,345 BROOK AVENUE,X,7.0,304.0,345 BROOK AVENUE CONSOLIDATED LOCATION,3,P.S. / I.S. 224 |  International Community High School |  Academy of Applied Mathematics and Technology |  345 BROOK AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10454.0,40.81004,-73.917792,1.0,8.0,41.0,2000391.0,2022860036.0,Mott Haven-Port Morris                                                     
2015-16,X139,07X334,International Community High School,X334,345 BROOK AVENUE,X,7.0,470.0,345 BROOK AVENUE CONSOLIDATED LOCATION,3,P.S. / I.S. 224 |  International Community High School |  Academy of Applied Mathematics and Technology |  345 BROOK AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10454.0,40.81004,-73.917792,1.0,8.0,41.0,2000391.0,2022860036.0,Mott Haven-Port Morris                                                     
2015-16,X139,07X224,P.S. / I.S. 224,X224,345 BROOK AVENUE,X,7.0,367.0,345 BROOK AVENUE CONSOLIDATED LOCATION,3,P.S. / I.S. 224 |  International Community High School |  Academy of Applied Mathematics and Technology |  345 BROOK AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10454.0,40.81004,-73.917792,1.0,8.0,41.0,2000391.0,2022860036.0,Mott Haven-Port Morris                                                     
2015-16,X138,08X138,P.S. 138 Samuel Randall,X138,2060 LAFAYETTE AVENUE,X,8.0,784.0,,1,P.S. 138 Samuel Randall,0.0,1.0,0.0,0.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BRONX,10473.0,40.822665,-73.853366,9.0,18.0,74.0,2022289.0,2036090016.0,Soundview-Castle Hill-Clason Point-Harding Park                            
